Delta,Diam,Dataset,Mean_delta,Std_delta,Rank,Batch_size,Num_of_attempts,Mean_diam,Std_diam,all_Time,svd_Time,Way
0.1406618211170337,12.60952021291849,Gift_Cards,0.13312352652176335,0.009600666890013638,148,133,5,12.60952021291849,0.0,16.962668400000002,0.003915300000000066,heuristic
0.12029089276214158,12.60952021291849,Gift_Cards,0.13312352652176335,0.009600666890013638,148,133,5,12.60952021291849,0.0,16.962668400000002,0.003915300000000066,heuristic
0.13671488517762076,12.60952021291849,Gift_Cards,0.13312352652176335,0.009600666890013638,148,133,5,12.60952021291849,0.0,16.962668400000002,0.003915300000000066,heuristic
0.14212489149950125,12.60952021291849,Gift_Cards,0.13312352652176335,0.009600666890013638,148,133,5,12.60952021291849,0.0,16.962668400000002,0.003915300000000066,heuristic
0.12582514205251938,12.60952021291849,Gift_Cards,0.13312352652176335,0.009600666890013638,148,133,5,12.60952021291849,0.0,16.962668400000002,0.003915300000000066,heuristic
0.1494592683085334,12.60952021291849,Gift_Cards,0.13550585058594844,0.008657023308363461,148,148,5,12.60952021291849,0.0,2.7328941,0.003915300000000066,heuristic
0.12697547814845797,12.60952021291849,Gift_Cards,0.13550585058594844,0.008657023308363461,148,148,5,12.60952021291849,0.0,2.7328941,0.003915300000000066,heuristic
0.13037533977496946,12.60952021291849,Gift_Cards,0.13550585058594844,0.008657023308363461,148,148,5,12.60952021291849,0.0,2.7328941,0.003915300000000066,heuristic
0.13363532107300244,12.60952021291849,Gift_Cards,0.13550585058594844,0.008657023308363461,148,148,5,12.60952021291849,0.0,2.7328941,0.003915300000000066,heuristic
0.1370838456247789,12.60952021291849,Gift_Cards,0.13550585058594844,0.008657023308363461,148,148,5,12.60952021291849,0.0,2.7328941,0.003915300000000066,heuristic
